igkalozm4aazx136ne3s7mq8431f84dk;颜色;kleur
wcd7r3neapw4oxj5jlwds084lg75w679;假期;vakantie
ycfatwir1lf3e4036oenwmwi3v854b20;长;lang
v307jfw3xwcrx63xgxgodnlafiimwow4;短;kort
3oreprsfw8idi51820e8sjcnfjd4gxr6;一样;hetzelfde
yvvi7ppubmoh9qtnbe27eh85c7r5qez5;高;hoog, groot
k6uot055crkwjt22v6g0zvc9sjrc1ytc;矮;klein (van gestalte)

week211
jatlesq1730c1fgxixdsn9gsifiqhgk0;假期;vakantie
kbey37kl7x2pg2x6epepy46dh8yqo2et;以前;vroeger, eerder
tbs421ag9zlm57y5s75p1ltnq3i8cxtp;以后;later
o5wcytgfncrkkbcafehbgmyvvb3j0ikx;了;(partikel voor voltooide handelingen)
bj3nvuic2qpi11q8c3qf3j6qwdlfzkx1;洗澡;het wassen van een wasje, zich wassen
ug1dogulhm0d9dhq1ryyossigxuuj4gd;起床;het opstaan uit bed, opstaan
2p35mac0go8wc5zm0z73fyi9up8blvcq;会;kunnen (iets onder de knie hebben)
ypjyyxteo6tg7c0toi70zh1qkvz9d9zv;能;kunnen (de omstandigheden laten het toe)
nfn38lebuy9m834x61tmkou6q29lw01a;可以;kunnen, mogen (iets dat toegelaten is)
vrpgyu5zr4m0bhobgsf4pnjt3tln66gw;聊天(儿);babbelen
whd23ax3gnmpd6tevlyu9o780uhnx9du;运动;sport, sporten
vqtkej6g8dd3apakw1ua0msf6bjqwdhz;跑步;het lopen van passen, lopen, rennen
dcsa6jxcge0utqr0kvlr98g7azkkwrvy;踢足球;stampen tegen een voetbal, voetballen
uu6spiihcsaxiyd879xig7ma5e5umf8v;打网球;slaan tegen een tennisbal, tennissen
tkh1w2ade9bhvsbl3ynp4w2e8g9j3pwz;散步;wandelen
ogfmhyeawl04sff1bo8rxi0jkh6o3gvx;走路;gaan
70ru3foz6691c73o2uua4s1b61omb95a;第;(gebruikt om rangtelwoorden te vormen)
kikiahs2pmehduej6hqv16t3n6kd12pi;司机;chauffeur
u1ve3lxgimm6a61dj79xnt64pwfet9pj;帅;knap (om mannen te beschrijven)
yz2mbkzzg97y5meszql29gs9wcpzt89l;颜色;kleur
vcd05ase30q9pzsx3iucy0tem18ncaot;白;wit
svh82h99whxj9j61tgll4fy286djm826;红;rood
sk300q0mgzbdx734tf0awyb7uppenbp7;蓝;blauw
f0p463fmok9cqi2s2960kzg0i07ka3o7;绿;lǜ;groen
t6lotnqw6hi6b0inbpg475hl2rr9hnjd;黑;zwart
axwpzfzwat7u9fa5264r55fh72y1znf0;咖啡色;bruin
ud3m4qdo6pto3pndwijsf32ph6zqoft0;黄;geel
